"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"ANDREW J. SYNGKON","SHILLONG","Meghalaya","Lok Sabha",98000000,98000000,71430000,100,98,241,40.66,26570000,327,321,6,"N/A"
"S SUPONGMEREN JAMIR","NAGALAND","Nagaland","Lok Sabha",147000000,147000000,138150000,100,38,56,67.86,8850000,81,81,0,"N/A"
"RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","Maharashtra","Lok Sabha",147000000,147000000,53799122,100,0,67,0,93200878,24,20,4,"N/A"
"Mahesh Sharma","GAUTAM BUDDHA NAGAR","Uttar Pradesh","Lok Sabha",148816284.11,148811083.28,83408358,100,68,173,39.31,65402725.28,130,126,4,"N/A"
"ANOOP PRADHAN BALMIKI","HATHRAS","Uttar Pradesh","Lok Sabha",147000000,146944105,97915147,99.96,69,106,65.09,49028958,141,141,0,"N/A"
"Prof SP Singh Baghel","AGRA","Uttar Pradesh","Lok Sabha",147000000,146923438,93200157,99.95,55,110,50,53723281,140,140,0,"N/A"
"Shri Bhartruhari Mahtab","CUTTACK","Odisha","Lok Sabha",147000000,146922088,37017579,99.95,86,483,17.81,109904509,281,277,4,"N/A"
"NEERAJ MAURYA","AONLA","Uttar Pradesh","Lok Sabha",147000000,146910629,97488644,99.94,17,36,47.22,49421985,101,101,0,"N/A"
"Smt Veena Devi ","VAISHALI","Bihar","Lok Sabha",147000000,146860679,131108889,99.91,30,59,50.85,15751790,49,49,0,"N/A"
"DR. LATA WANKHEDE","SAGAR","Madhya Pradesh","Lok Sabha",147000000,146839715,100520853,99.89,103,236,43.64,46318862,276,272,4,"N/A"
"BALYA MAMA SURESH GOPINATH MHATRE","BHIWANDI","Maharashtra","Lok Sabha",147000000,146794506,61343128,99.86,11,164,6.71,85451378,75,70,5,"N/A"
"Ashok Kumar Rawat","MISRIKH","Uttar Pradesh","Lok Sabha",147000000,146776705,121139986,99.85,2,5,40,25636719,32,24,8,"N/A"
"SACHITHANANTHAM R","DINDIGUL","Tamil Nadu","Lok Sabha",147000000,146728339,91226196,99.82,50,134,37.31,55502143,87,85,2,"N/A"
"Ramprit Mandal","JHANJHARPUR","Bihar","Lok Sabha",147000000,146608150,107510581,99.73,91,177,51.41,39097569,104,104,0,"N/A"
"JOYANTA BASUMATARY","KOKRAJHAR","Assam","Lok Sabha",147000000,146599810,63280971,99.73,20,129,15.5,83318839,82,79,3,"N/A"
"Rodmal Nagar ","RAJGARH","Madhya Pradesh","Lok Sabha",147000000,146544940,92107905,99.69,54,355,15.21,54437035,265,265,0,"N/A"
"Mukesh Rajput","FARRUKHABAD","Uttar Pradesh","Lok Sabha",147000000,146534526,108417412,99.68,246,306,80.39,38117114,367,367,0,"N/A"
"MURLIDHAR MOHOL","PUNE","Maharashtra","Lok Sabha",147000000,146496657,18945481,99.66,12,99,12.12,127551176,19,19,0,"N/A"
"JAI PARKASH","HISAR","Haryana","Lok Sabha",147000000,146353469,73212356,99.56,68,444,15.32,73141113,357,330,27,"N/A"
"SUDHAKAR SINGH","BUXAR","Bihar","Lok Sabha",185211956.54,184189494,124124191,99.45,98,204,48.04,60065303,177,176,1,"N/A"
"Indra Hang Subba","SIKKIM","Sikkim","Lok Sabha",152003923.11,151079926,98023420,99.39,38,130,29.23,53056506,80,80,0,"N/A"
"Pradyut Bordoloi","NOWGONG","Assam","Lok Sabha",98000000,97394000,67857468,99.38,13,215,6.05,29536532,478,475,3,"N/A"
"Sunil Kumar ","VALMIKI NAGAR","Bihar","Lok Sabha",147000000,145930069,63664429,99.27,79,258,30.62,82265640,87,87,0,"N/A"
"RAJA RAM SINGH","KARAKAT","Bihar","Lok Sabha",147000000,145887944,72478355,99.24,114,329,34.65,73409589,194,191,3,"N/A"
"Shri Arun Kumar Sagar ","SHAHJAHANPUR","Uttar Pradesh","Lok Sabha",147000000,145876200,138723000,99.24,4,7,57.14,7153200,45,45,0,"N/A"
"DULU MAHATO","DHANBAD","Jharkhand","Lok Sabha",147000000,145710045,58175255,99.12,57,417,13.67,87534790,312,272,40,"N/A"
"MANOJ KUMAR","SASARAM","Bihar","Lok Sabha",147000000,145610852,95686097,99.06,82,194,42.27,49924755,122,121,1,"N/A"
"SK NURUL ISLAM","BASIRHAT","West Bengal","Lok Sabha",49000000,48510650,30740105,99,8,32,25,17770545,21,21,0,"N/A"
"Vinod Chavda","KACHCHH","Gujarat","Lok Sabha",147000000,145391050,51201603,98.91,98,363,27,94189447,127,119,8,"N/A"
"Priyanka Gandhi Vadra","WAYANAD","Kerala","Lok Sabha",122500000,121145751,34714501,98.89,11,96,11.46,86431250,39,39,0,"N/A"
"VIJAYLAKSHMI DEVI","SIWAN","Bihar","Lok Sabha",147000000,145285955,134748616,98.83,95,182,52.2,10537339,142,142,0,"N/A"
"RAJESH RANJAN ALIAS PAPPU YADAV","PURNEA","Bihar","Lok Sabha",147000000,145247018,72622818,98.81,46,171,26.9,72624200,76,76,0,"N/A"
"PATEL UMESHBHAI BABUBHAI","DAMAN and DIU","The Dadra And Nagar Haveli And Daman And Diu","Lok Sabha",245063957,241786200,0,98.66,0,61,0,241786200,0,0,0,"N/A"
"Smt S Jothimani","KARUR","Tamil Nadu","Lok Sabha",147000000,144332988,48601252,98.19,87,177,49.15,95731736,103,100,3,"N/A"
"MANI. A.","DHARAMAPURI","Tamil Nadu","Lok Sabha",164515071.11,161217102,68465190,98,63,373,16.89,92751912,130,127,3,"N/A"
"Anto Antony","PATHANAMTHITTA","Kerala","Lok Sabha",147000000,143897348,26984855,97.89,60,356,16.85,116912493,78,78,0,"N/A"
"THARANIVENTHAN M S","ARANI","Tamil Nadu","Lok Sabha",168337124.35,164629272,111465790,97.8,192,316,60.76,53163482,215,214,1,"N/A"
"RAMBHUAL NISHAD","SULTANPUR","Uttar Pradesh","Lok Sabha",151231957.11,147846720.57,87473694,97.76,6,69,8.7,60373026.56999999,26,25,1,"N/A"
"RAJ BHUSHAN CHOUDHARY","MUZAFFARPUR","Bihar","Lok Sabha",147000000,143571385,96375137,97.67,77,130,59.23,47196248,90,90,0,"N/A"
"SUDAMA PRASAD","ARRAH","Bihar","Lok Sabha",147000000,142785922,57716958,97.13,66,219,30.14,85068964,86,86,0,"N/A"
"RAM PRASAD CHAUDHARY","BASTI","Uttar Pradesh","Lok Sabha",204176957.11,198071774,148429426,97.01,37,183,20.22,49642348,239,239,0,1
"Sanjay Kumar Bandi","KARIMNAGAR","Telangana","Lok Sabha",172775317.11,167256600,65663959,96.81,173,635,27.24,101592641,307,307,0,"N/A"
"RAJEEV BHARDWAJ","KANGRA","Himachal Pradesh","Lok Sabha",179388967.11,173418823,81718389,96.67,208,628,33.12,91700434,658,652,6,"N/A"
